"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"323","Portsmouth","SouthEast",1987,"1987/1988",324780,282,0.087,"0",324.78,"1",6591,0.739189804,2494000,4872,476926,2494,476.926,0.591286698565396
"324","Portsmouth","SouthEast",1988,"1988/1989",233980,162,0.069,"0",233.98,"1",7561,0.684962307,1726500,5179,477450,1726.5,477.45,0.339302544769086
"325","Portsmouth","SouthEast",1989,"1989/1990",209644,42,0.02,"0",209.644,"1",8290,0.65548854,1233800,5434,478604,1233.8,478.604,0.0877552214356754
"326","Portsmouth","SouthEast",1990,"1990/1991",220166,90,0.041,"1",220.166,"1",9163,0.631998254,1327600,5791,480874,1327.6,480.874,0.187159214264028
"327","Portsmouth","SouthEast",1991,"1991/1992",271143,73,0.027,"1",271.143,"1",9565,0.656769472,2524100,6282,482876,2524.1,482.876,0.151177527978197
"328","Portsmouth","SouthEast",1992,"1992/1993",315245,86,0.027,"1",315.245,"1",10025,0.634713217,3478000,6363,484101,3478,484.101,0.17764887905623
"329","Portsmouth","SouthEast",1993,"1993/1994",268918,50,0.019,"1",268.918,"1",10422,0.625503742,3771100,6519,485215,3771.1,485.215,0.103047102830704
"330","Preston","Northwest",1987,"1987/1988",139998,20,0.01,"0",139.998,"0",5552,0.400036023,4798400,2221,87962,4798.4,87.962,0.227370910165753
"331","Preston","Northwest",1988,"1988/1989",163703,51,0.03,"0",163.703,"0",6064,0.386048813,4013000,2341,87811,4013,87.811,0.580792839165936
"332","Preston","Northwest",1989,"1989/1990",145189,114,0.08,"0",145.189,"0",6729,0.368405409,3270300,2479,87967,3270.3,87.967,1.29594052315073
"333","Preston","Northwest",1990,"1990/1991",104121,25,0.02,"1",104.121,"0",7535,0.3668215,2922700,2764,88031,2922.7,88.031,0.283990866853722
"334","Preston","Northwest",1991,"1991/1992",108612,223,0.21,"1",108.612,"0",8015,0.373799127,3584300,2995,88232,3584.3,88.232,2.52742769063378
"335","Preston","Northwest",1992,"1992/1993",130836,84,0.06,"1",130.836,"0",8441,0.338230068,4045000,2855,88190,4045,88.19,0.952488944324753
"336","Preston","Northwest",1993,"1993/1994",154918,56,0.04,"1",154.918,"0",8620,0.336658933,4066000,2902,88271,4066,88.271,0.634409942110093
"337","Reading","SouthEast",1987,"1987/1988",150352,20,0.01,"0",150.352,"0",6591,0.739189804,2494000,4872,438009,2494,438.009,0.0456611622135618
"338","Reading","SouthEast",1988,"1988/1989",117613,25,0.02,"0",117.613,"0",7561,0.684962307,1726500,5179,438490,1726.5,438.49,0.0570138429610709
"339","Reading","SouthEast",1989,"1989/1990",93974,21,0.02,"0",93.974,"0",8290,0.65548854,1233800,5434,439550,1233.8,439.55,0.0477761346831987
"340","Reading","SouthEast",1990,"1990/1991",94181,17,0.02,"1",94.181,"0",9163,0.631998254,1327600,5791,441635,1327.6,441.635,0.0384933259365766
"341","Reading","SouthEast",1991,"1991/1992",88350,13,0.02,"1",88.35,"0",9565,0.656769472,2524100,6282,443474,2524.1,443.474,0.0293140071345784
"342","Reading","SouthEast",1992,"1992/1993",109983,63,0.06,"1",109.983,"0",10025,0.634713217,3478000,6363,444599,3478,444.599,0.141700723573377
"343","Reading","SouthEast",1993,"1993/1994",158437,117,0.07,"1",158.437,"0",10422,0.625503742,3771100,6519,445621,3771.1,445.621,0.262554951404893
"344","Rochdale","Northwest",1987,"1987/1988",44903,32,0.07,"0",44.903,"0",5552,0.400036023,4798400,2221,96984,4798.4,96.984,0.329951332178504
